Date,Bank Name,Atm's on-site,Atm's off-site,Credit card cash withdraw,Debit card cash withdraw
2023-07-01,BANK OF BARODA,8440.0,2088.0,41891000.0,120381811000.0
2023-08-01,BANK OF BARODA,8433.0,2182.0,50232000.0,124429975000.0
2023-09-01,BANK OF BARODA,8375.0,2192.0,78148000.0,116494715000.0
2023-10-01,BANK OF BARODA,8445.0,2414.0,81689000.0,123224871000.0
2023-11-01,BANK OF BARODA,8444.0,2564.0,78886000.0,124180193000.0
2023-12-01,BANK OF BARODA,8422.0,2608.0,83631000.0,119582986000.0
2024-01-01,BANK OF BARODA,8407.0,2621.0,73367000.0,119878790000.0
2024-02-01,BANK OF BARODA,8397.0,2634.0,76706000.0,120198063000.0
2024-03-01,BANK OF BARODA,8417.0,2634.0,92331000.0,130795684000.0
2024-04-01,BANK OF BARODA,8083.0,2631.0,96521000.0,125165874000.0
2024-05-01,BANK OF BARODA,8176.0,2517.0,87328000.0,120753592000.0
2024-06-01,BANK OF BARODA,8040.0,2379.0,83856000.0,117026201000.0
2024-07-01,BANK OF BARODA,8254.0,2291.0,77758000.0,114983813000.0
2024-08-01,BANK OF BARODA,8258.0,2219.0,68998000.0,116100857000.0
2024-09-01,BANK OF BARODA,8107.0,2253.0,62629000.0,112190265000.0
2024-10-01,BANK OF BARODA,8217.0,2256.0,69214000.0,135255138000.0
2024-11-01,BANK OF BARODA,8345.0,2343.0,64370000.0,111001788000.0
2024-12-01,BANK OF BARODA,8395.0,2383.0,66327000.0,118048467000.0
2025-01-01,BANK OF BARODA,8504.0,2411.0,63510000.0,120380330000.0
